Date,Open,High,Low,Close,AdjClose,Volume
17-01-2014,576.265015,578.147949,569.963623,573.116821,573.116821,5422850
21-01-2014,578.297424,579.82666,573.500366,579.677246,579.677246,3974642
22-01-2014,581.12677,581.764404,577.266235,580.334778,580.334778,3154580
23-01-2014,577.834106,579.074463,575.029663,577.883972,577.883972,3912811
24-01-2014,573.355896,574.621155,559.403198,559.81665,559.81665,7814180
27-01-2014,560.947449,561.146667,539.114258,548.558838,548.558838,8739837
28-01-2014,553.086914,560.773071,552.897583,559.408203,559.408203,4436969
29-01-2014,557.470459,558.780579,547.657227,551.39325,551.39325,4777641
30-01-2014,570.362122,574.09314,561.520264,565.575073,565.575073,10220968
31-01-2014,583.487915,591.054565,573.41571,588.279968,588.279968,11174328
03-02-2014,587.398315,588.653564,563.891418,564.598755,564.598755,9172452
04-02-2014,566.870239,575.343445,566.38208,566.954895,566.954895,5644879
05-02-2014,569.555176,573.236389,561.90387,569.465515,569.465515,4806950
06-02-2014,573.41571,577.913818,571.632385,577.814209,577.814209,3907793
07-02-2014,581.634888,586.750732,578.113098,586.521545,586.521545,5292162
10-02-2014,583.712097,588.99231,582.327271,584.275024,584.275024,3904982
11-02-2014,587.88147,593.709656,583.916321,592.867798,592.867798,4116974
12-02-2014,592.279968,592.778137,588.484192,591.129272,591.129272,3461928
13-02-2014,588.17041,597.709656,587.627441,597.709656,597.709656,3686567
14-02-2014,595.572632,599.946228,594.172913,599.154236,599.154236,4389793
18-02-2014,598.461792,604.17041,597.75946,603.179138,603.179138,4233609
19-02-2014,600.399536,602.352234,596.514099,598.92511,598.92511,4222970
20-02-2014,599.323608,601.191589,597.869019,599.806763,599.806763,3414350
21-02-2014,601.649841,602.676025,599.174133,599.6474,599.6474,3738561
24-02-2014,600.429443,607.801819,600.299927,603.991089,603.991089,3361151
25-02-2014,605.699707,609.963684,602.950012,607.722107,607.722107,2888185
26-02-2014,609.714661,612.145508,604.61377,607.806763,607.806763,3979260
27-02-2014,606.920105,609.829224,606.232666,607.328613,607.328613,2529446
28-02-2014,607.891479,609.809265,600.857849,605.555237,605.555237,4644544
03-03-2014,601.121826,601.664795,593.844116,599.099426,599.099426,4225379
04-03-2014,605.231445,605.729553,602.491699,605.186584,605.186584,2946403
05-03-2014,605.256348,609.256348,603.443176,606.855347,606.855347,2479860
06-03-2014,608.857849,610.785645,607.024719,607.527832,607.527832,2545706
07-03-2014,611.109436,611.204041,603.458069,605.126831,605.126831,3041558
10-03-2014,605.575134,606.546509,599.796814,603.522827,603.522827,2438305
11-03-2014,604.618713,604.8927,596.085754,597.754456,597.754456,3438841
12-03-2014,595.966187,601.6698,589.883972,601.395813,601.395813,3943325
13-03-2014,601.719604,602.989868,590.167908,592.309875,592.309875,4708784
14-03-2014,588.788086,593.211487,584.075745,584.210266,584.210266,4604996
17-03-2014,587.423218,596.299927,586.855347,593.824219,593.824219,4340408
18-03-2014,595.104431,603.50293,594.302429,603.368408,603.368408,3643606
19-03-2014,603.63739,603.732056,594.974915,597.385864,597.385864,3237891
20-03-2014,597.734558,602.546509,595.44812,596.344727,596.344727,3382029
21-03-2014,600.902649,602.556458,589.017212,589.311096,589.311096,6441052
24-03-2014,589.883972,590.237671,570.835388,576.802979,576.802979,6096968
25-03-2014,580.822937,582.735779,571.358398,577.196533,577.196533,4838468
26-03-2014,578.835388,583.597534,563.637329,563.87146,563.87146,5179341
27-03-2014,566.444824,566.444824,551.406128,556.930969,556.930969,13136
28-03-2014,559.663452,564.87915,557.140381,558.456787,558.456787,41213
31-03-2014,565.337891,565.447571,555.405151,555.445007,555.445007,10830
01-04-2014,557.180237,566.893616,557.180237,565.607117,565.607117,7922
02-04-2014,598.347229,603.174011,560.650757,565.447571,565.447571,147103
03-04-2014,568.289734,585.672058,562.585449,568.180054,568.180054,5099161
04-04-2014,573.076599,576.188049,541.513245,541.652893,541.652893,6369339
07-04-2014,539.25946,546.978271,525.706665,536.676575,536.676575,4401652
08-04-2014,541.11438,553.480408,540.127075,553.380676,553.380676,3151228
09-04-2014,558.087769,563.822021,551.436035,562.595398,562.595398,3330820
10-04-2014,563.453064,563.453064,538.421753,539.468872,539.468872,4036853
11-04-2014,531.091858,538.521484,525.088379,529.147217,529.147217,3924846
14-04-2014,536.776306,542.610291,528.110046,531.061951,531.061951,2575050
15-04-2014,535.35022,536.975708,517.040466,534.971252,534.971252,3855055
16-04-2014,541.513245,555.474915,538.521484,555.016174,555.016174,4893298
17-04-2014,547.307373,547.995483,529.69574,534.632141,534.632141,6809544
21-04-2014,534.632141,535.23053,524.160889,527.172668,527.172668,2566728
22-04-2014,527.192566,535.759094,526.065674,533.345703,533.345703,2365376
23-04-2014,532.328491,532.408264,524.809143,525.497253,525.497253,2052319
24-04-2014,528.618652,530.194336,520.69043,523.722107,523.722107,1883156
25-04-2014,521.079407,523.263367,514.008789,514.766724,514.766724,2100351
28-04-2014,515.763977,517.180054,501.42334,515.73407,515.73407,3335533
29-04-2014,515.484741,528.010376,514.906311,526.255188,526.255188,2699090
30-04-2014,526.155457,526.554321,521.089355,525.218018,525.218018,1751195
01-05-2014,525.666809,531.470825,522.445618,529.895203,529.895203,1905517
02-05-2014,532.298584,532.537903,524.170898,526.484558,526.484558,1688523
05-05-2014,523.383057,527.451904,519.892639,526.364868,526.364868,1024104
06-05-2014,523.791931,525.367615,513.64978,513.729553,513.729553,1689025
07-05-2014,514.377747,515.26532,501.921967,508.563751,508.563751,3224328
08-05-2014,507.067841,515.813843,505.063354,509.600891,509.600891,2021334
09-05-2014,509.351563,518.476501,502.819519,517.309753,517.309753,2439479
12-05-2014,522.07666,528.738342,517.588989,528.469116,528.469116,1912536
13-05-2014,529.436462,534.602234,528.060181,531.630432,531.630432,1653427
14-05-2014,531.540649,531.540649,523.851746,525.208069,525.208069,1191763
15-05-2014,524.26062,524.430176,516.003296,518.556274,518.556274,1704367
16-05-2014,519.962463,520.371338,514.028748,519.204529,519.204529,1485267
19-05-2014,518.2771,528.329468,516.165894,527.411987,527.411987,1277799
20-05-2014,528.289551,534.761841,524.859009,528.319519,528.319519,1784787
21-05-2014,531.440918,537.706726,530.453613,537.464417,537.464417,1196275
22-05-2014,539.648376,546.100708,539.299377,543.567627,543.567627,1615824
23-05-2014,545.761597,552.124146,542.211365,551.186707,551.186707,1932190
27-05-2014,554.477661,564.450317,552.832214,564.400452,564.400452,2104161
28-05-2014,563.024231,566.285278,559.463989,560.142151,560.142151,1652023
29-05-2014,561.807556,562.45575,557.180237,558.546509,558.546509,1354108
30-05-2014,559.264526,559.813049,554.387939,558.357056,558.357056,1771149
02-06-2014,559.164795,559.364258,544.235779,552.41333,552.41333,1435029
03-06-2014,549.481384,550.827698,541.064514,543.447937,543.447937,1866611
04-06-2014,540.017395,547.10791,537.274902,543.168701,543.168701,1816473
05-06-2014,544.903992,553.430542,542.95929,552.383423,552.383423,1689125
